#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B48893
#Date Time: 2025-02-21 12:52:54.217.222.820
#Sample rate: 5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2.1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -5 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -5 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Channel 3: Range: 1 V/div Offset: -5 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: 3.3 V

Time (s),Channel 1 (V),Channel 2 (V),Channel 3 (V)
-0.0005476349397590362,7.933057765462234,0.1712933673790671,4.948112444121596
-0.0005476149397590362,7.936361175003929,0.1563275841693432,4.946448211031856
-0.0005475949397590361,7.936361175003912,0.1563275841693372,4.939791278672904
-0.0005475749397590361,7.93140606069132,0.1546647193682925,4.941455511762643
-0.0005475549397590361,7.913237308212117,0.1629790433736707,4.943119744852456
-0.0005475349397590361,7.928102651149679,0.1646419081747115,4.96475477501897
-0.0005475149397590361,7.921495832066333,0.1463503953628334,4.95144091030106
-0.0005474949397590361,7.939664584545619,0.1313846121531307,4.943119744852375
-0.0005474749397590362,7.936361175003905,0.1280588825510029,4.941455511762634
-0.0005474549397590362,7.923147536837148,0.1430246657606995,4.939791278672898
-0.0005474349397590362,7.929754355920538,0.1430246657606995,4.971411707377952
-0.0005474149397590362,7.916540717753758,0.1330474769542169,4.953105143390816
-0.0005473949397590362,7.941316289316426,0.1446875305617585,4.944783977942132
-0.0005473749397590361,7.928102651149709,0.124733152948881,4.949776677211318
-0.0005473549397590361,7.933057765462216,0.1430246657606571,4.944783977942171
-0.0005473349397590361,7.928102651149715,0.1313846121531368,4.959762075749731
-0.0005473149397590361,7.934709470233064,0.1313846121531459,4.948112444121579
-0.0005472949397590361,7.92479924160799,0.136373206556372,4.938127045583145
-0.0005472749397590362,7.921495832066303,0.1330474769541957,4.931470113224229
-0.0005472549397590362,7.923147536837148,0.1214074233466542,4.948112444121596
-0.0005472349397590362,7.926450946378843,0.1180816937444931,4.933134346313938
-0.0005472149397590362,7.9214958320663,0.1280588825509756,4.931470113224199
-0.0005471949397590362,7.941316289316472,0.1247331529488145,4.936462812493418
-0.0005471749397590361,7.924799241608032,0.1014530457336891,4.928141647044749
-0.0005471549397590361,7.934709470232992,0.1014530457336225,4.9364628124934
-0.0005471349397590361,7.909933898670457,0.0831615329219432,4.931470113224211
-0.0005471149397590361,7.934709470233088,0.1214074233466058,4.934798579403655
-0.0005470949397590361,7.938012879774774,0.09480158652940306,4.921484714685766
-0.0005470749397590361,7.93636117500392,0.1147559641423138,4.924813180865255
-0.0005470549397590362,7.931406060691386,0.1047787753358493,4.933134346313938
-0.0005470349397590362,7.94957481317071,0.08981299212612548,4.909835083057582
-0.0005470149397590362,7.9214958320663,0.09480158652936677,4.933134346313938
-0.0005469949397590362,7.936361175003929,0.09313872172828663,4.938127045583157
-0.0005469749397590362,7.929754355920551,0.08815012732505442,4.939791278672895
-0.0005469549397590361,7.92479924160805,0.09979018093255361,4.928141647044646
-0.0005469349397590361,7.939664584545559,0.08482439772288419,4.908170849967885
-0.0005469149397590361,7.921495832066324,0.08482439772288117,4.919820481596036
-0.0005468949397590361,7.934709470233094,0.08316153292178288,4.928141647044692
-0.0005468749397590361,7.94131628931645,0.07152147931428975,4.913163549237064
-0.0005468549397590362,7.929754355920517,0.09812731613149163,4.914827782326816
-0.0005468349397590362,7.918192422524605,0.07817293851856277,4.9231489477755
-0.0005468149397590362,7.941316289316472,0.05655569610451749,4.9231489477755
-0.0005467949397590362,7.939664584545625,0.07651007371748264,4.9231489477755
-0.0005467749397590362,7.942967994087314,0.05489283130347668,4.914827782326816
-0.0005467549397590361,7.933057765462221,0.04824137209917555,4.906506616878206
-0.0005467349397590361,7.929754355920593,0.06487002010996139,4.934798579403576
-0.0005467149397590361,7.944619698858155,0.07651007371747054,4.906506616878157
-0.0005466949397590361,7.941316289316463,0.07318434411529728,4.921484714685711
-0.0005466749397590361,7.936361175003938,0.05988142570669075,4.894856985249976
-0.0005466549397590361,7.941316289316459,0.06653288491100007,4.923148947775476
-0.0005466349397590362,7.934709470233082,0.06653288491100007,4.909835083057582
-0.0005466149397590362,7.931406060691386,0.06653288491100007,4.913163549237061
-0.0005465949397590362,7.918192422524605,0.05322996650235634,4.913163549237061
-0.0005465749397590362,7.916540717753758,0.06487002010991905,4.9231489477755
-0.0005465549397590362,7.942967994087272,0.05988142570668772,4.889864285980766
-0.0005465349397590361,7.942967994087266,0.06154429050777693,4.921484714685699
-0.0005465149397590361,7.928102651149715,0.06653288491093957,4.904842383788381
-0.0005464949397590361,7.934709470233079,0.04990423690020213,4.909835083057546
-0.0005464749397590361,7.933057765462255,0.05322996650234121,4.889864285980726
-0.0005464549397590361,7.944619698858146,0.04491564249700016,4.901513917608866
-0.0005464349397590362,7.933057765462225,0.06985861451311497,4.891528519070481
-0.0005464149397590362,7.928102651149691,0.04491564249695479,4.911499316147322
-0.0005463949397590362,7.933057765462234,0.04491564249695479,4.896521218339664
-0.0005463749397590362,7.933057765462234,0.04824137209911505,4.893192752160185
-0.0005463549397590362,7.942967994087303,0.07152147931419901,4.889864285980711
-0.0005463349397590361,7.926450946378915,0.04491564249698504,4.90983508305757
